Algorithm,InputType,Size,Memory(B),Time(ms),Trial1,Stable
cocktail_shaker_sort,sorted,1000000,0,5.02859,5.02859,Yes
cocktail_shaker_sort,partial,1000000,0,4.43965e+06,4.43965e+06,Yes
